lp,sygna³1,sygna³2,sygna³3,sygna³4,liczby
38,-1.6156572510179814,-0.82588579636035164,-0.82537716999763533,-0.81734760528622397,1
39,-1.6160162813916636,-0.84194492578317426,-0.84059856188186632,-0.83726631122612927,1
40,-1.6137405524084807,-0.85132459429561935,-0.85359471342921356,-0.85197533684791815,1
41,-1.6169269469749095,-0.85995254296316748,-0.85889415134075042,-0.84959489067241123,1
42,-1.6131290788033033,-0.83368161733889701,-0.83114970522449294,-0.82789786241286178,1
43,-1.6114143347789986,-0.81346932927051196,-0.81670808243310267,-0.80949568581179077,1
44,-1.6111955506450362,-0.86726404692721459,-0.86700225394640473,-0.8681709726107345,1
45,-1.6184696556118248,-0.85740380129999716,-0.8631408074794592,-0.8585239012678908,1
46,-1.6288852763483317,-0.8198421184033694,-0.82179434606026591,-0.8135871361118765,1
47,-1.6275033833996282,-0.81336648202805095,-0.81548326527288506,-0.80855884093046404,1
48,-1.6004919576296384,-0.86306226958521615,-0.86658151522724602,-0.86473213481281064,1
49,-1.5772952295800207,-0.85087954622824258,-0.85494855712997309,-0.84539872318000164,1
50,-1.5939153439617217,-0.82028529652088333,-0.81880429622944462,-0.81290086451218202,1
51,-1.598975428290804,-0.82020114877705153,-0.82431690842535532,-0.81670060263365096,1
52,-1.5945903958622385,-0.84778290925523436,-0.84883569102806267,-0.8463916665572162,1
53,-1.6004582985321056,-0.85506449402147466,-0.8543894421209578,-0.84777916935550857,1
54,-1.5935563135880395,-0.82181117560903227,-0.82690304908578427,-0.82309396121500067,1
55,-1.5977225618826425,-0.8206387170449766,-0.8297154536796274,-0.82183922485697614,1
56,-1.6030033002955502,-0.86830373905100244,-0.86558483195030556,-0.85289161228075272,1
57,-1.6073864627742525,-0.86204501685978352,-0.86740242321707128,-0.85498595612723172,1
58,-1.6033716804185469,-0.80858128032881915,-0.81629482351339566,-0.81175832514593316,1
59,-1.6015634389010958,-0.81699979461171945,-0.82035635461567458,-0.81097855605309233,1
60,-1.6051425229387393,-0.86283974555152776,-0.85399301275001704,-0.84265176683136089,1
61,-1.6028331348580236,-0.85193606790079668,-0.85883992279472554,-0.85170980396738238,1
62,-1.6037681097894876,-0.82132311869480812,-0.82119970200385495,-0.81474650502689161,1
63,-1.6212334415092318,-0.82742289514767808,-0.82487228353464481,-0.82470211809711835,1
64,-1.6069040157096173,-0.85522156980996056,-0.85781706021970416,-0.85204452499284644,1
65,-1.6159732725448164,-0.8575664869380718,-0.86062198501409559,-0.85475969219381742,1
66,-1.6142884477183184,-0.83163215228912823,-0.82480683528944232,-0.8110944929445939,1
67,-1.6143557659133838,-0.82477130624204675,-0.83032692728480473,-0.82835413017941606,1
68,-1.6139088478961441,-0.85849024217035808,-0.86640200004040502,-0.86447408173172657,1
69,-1.5940406306025379,-0.85570588682445881,-0.85884179274458849,-0.85205948459174996,1
70,-1.6070480018490625,-0.82268818209474537,-0.82323607740458316,-0.82321924785581679,1
71,-1.6113077476368118,-0.81903243011272175,-0.8224263891139354,-0.81199767872838791,1
72,-1.5977076022837391,-0.84702931946047455,-0.85752534804108738,-0.85581060401678277,1
73,-1.617633788023096,-0.85312909591334452,-0.85179395171121419,-0.84906195496147685,1
74,-1.6122090634707429,-0.83725883142667756,-0.82804745840189597,-0.83040920507877358,1
75,-1.6087103872772053,-0.82617563858910537,-0.82730882820603957,-0.82702272587701164,1
76,-1.6108533498201203,-0.86109134242969043,-0.86511547453471072,-0.86084637899764693,1
77,-1.6039027461796183,-0.86119979952174031,-0.86078280070230739,-0.85286730293253465,1
78,-1.6029621613985656,-0.82052652005320093,-0.81749907122512111,-0.80691328505108761,1
79,-1.5990296568368287,-0.82052652005320093,-0.8291451189714345,-0.8199879744926778,1
80,-1.6021150741106596,-0.85081222803317713,-0.85082157778249179,-0.84546791132492993,1
